epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,400.943,1.23081,0.68924,1.21294,0.8792,0.87231,0.90271,0.57781,1.29213,0.63121,1.26996,0.00269875,0.00269875,0.00269875
61,407.106,1.15114,0.66598,1.172,0.89244,0.89074,0.91376,0.58314,1.31253,0.60963,1.26639,0.002575,0.002575,0.002575
62,413.04,1.2095,0.67676,1.22956,0.87018,0.87509,0.90292,0.57395,1.35217,0.6354,1.297,0.00245125,0.00245125,0.00245125
63,419.227,1.23072,0.68465,1.19828,0.88272,0.90655,0.93184,0.60204,1.32613,0.60542,1.26956,0.0023275,0.0023275,0.0023275
64,425.617,1.17889,0.65932,1.17697,0.90985,0.88653,0.92135,0.59016,1.30978,0.59148,1.26642,0.00220375,0.00220375,0.00220375
65,431.926,1.14075,0.68883,1.20197,0.82965,0.89999,0.9144,0.56121,1.35564,0.59403,1.28961,0.00208,0.00208,0.00208
66,437.769,1.13233,0.62893,1.13232,0.89889,0.89517,0.91846,0.55376,1.37161,0.59858,1.29612,0.00195625,0.00195625,0.00195625
67,443.896,1.14414,0.65496,1.19561,0.8831,0.89731,0.92472,0.57477,1.32266,0.59573,1.27279,0.0018325,0.0018325,0.0018325
68,449.758,1.17016,0.65646,1.21239,0.89933,0.90637,0.92523,0.60297,1.28742,0.5783,1.27262,0.00170875,0.00170875,0.00170875
69,456.216,1.11688,0.692,1.19209,0.89469,0.90546,0.9253,0.61533,1.31852,0.58547,1.29102,0.001585,0.001585,0.001585
70,462.318,1.14339,0.66227,1.18204,0.90557,0.91169,0.92559,0.62367,1.26358,0.5714,1.26352,0.00146125,0.00146125,0.00146125
71,473.475,1.18951,0.63953,1.25928,0.89059,0.91447,0.92149,0.61483,1.23247,0.56192,1.24511,0.0013375,0.0013375,0.0013375
72,479.753,1.14851,0.62789,1.24946,0.88899,0.91295,0.9326,0.60772,1.25698,0.56474,1.25595,0.00121375,0.00121375,0.00121375
73,485.506,1.1112,0.58987,1.24306,0.90512,0.92417,0.93475,0.608,1.25318,0.55352,1.25238,0.00109,0.00109,0.00109
74,491.612,1.07252,0.57311,1.13546,0.89609,0.92459,0.93674,0.60644,1.24577,0.54748,1.2463,0.00096625,0.00096625,0.00096625
75,497.66,1.12563,0.59365,1.2596,0.89366,0.90482,0.93931,0.62239,1.253,0.5515,1.2414,0.0008425,0.0008425,0.0008425
76,509.543,1.10605,0.59624,1.23019,0.88195,0.88499,0.93407,0.60752,1.28022,0.56376,1.2555,0.00071875,0.00071875,0.00071875
77,515.361,1.09413,0.57561,1.19905,0.89135,0.87727,0.93587,0.60881,1.25909,0.55127,1.24508,0.000595,0.000595,0.000595
78,521.54,1.08803,0.5802,1.21473,0.89604,0.88373,0.9347,0.61669,1.24284,0.5509,1.23703,0.00047125,0.00047125,0.00047125
79,527.341,1.08675,0.58106,1.21505,0.90418,0.8866,0.93511,0.61262,1.2461,0.55507,1.23697,0.0003475,0.0003475,0.0003475
80,533.501,1.09747,0.57555,1.1767,0.88648,0.93049,0.92779,0.60493,1.25147,0.55417,1.23861,0.00022375,0.00022375,0.00022375
1,13.3264,2.22675,4.44304,1.80903,0.13891,0.08364,0.00707,0.00399,2.214,inf,2.43921,0.0928,0.0008,0.0008
2,21.7061,2.24948,3.34705,1.93543,0,0,0,0,nan,nan,nan,0.0846663,0.00166634,0.00166634
3,28.3835,2.11504,2.22806,1.77102,0,0,0,0,nan,nan,nan,0.076497,0.00249704,0.00249704
4,34.2668,2.00707,1.99905,1.77909,0,0,0,0,nan,nan,nan,0.0682921,0.0032921,0.0032921
5,40.4397,1.88032,1.90395,1.74659,0,0,0,0,nan,nan,nan,0.0600515,0.00405152,0.00405152
